,Whiskey,Review,Score,Category,Reviewer,Price,Date,Alcohol,Age,finish,finish,fruit,note,sweet,oak,palat,spice,nose,vanilla,dri,year,chocol,old,smoke,sherri,malt,caramel,honey,hint,orang,toffe,pepper,matur,flavor,cinnamon,spici,peat,age,balanc,appl,soft,long,whiskey,releas,light,ginger,rich,citru,dark,water,complex,fresh,aroma,rye,wood,black,fruiti,express,creami,leather,lemon,candi,slightli,blend,peach,singl,ripe,new,subtl,cherri,red,floral,clean,nut,clove,sugar,mint,warm,licoric,smoki,white,milk,polish,almond,grain,mix,gentl,syrup,raisin,tobacco,coconut,hot,linger,textur,nutti,color,littl,peel,nutmeg,toast,bitter,cocoa,cream,green,corn,barley,earthi,develop,pineappl,smooth,pear,well,bake,berri,mouth,wine,follow,salt,oili,medium,brine,fudg,strength,roast,come,charact,big,great,delic,apricot,malti,also,pepperi,love,exclus,banana,full,tropic,emerg,tea,deep,fig,vintag,bodi,much,dram,bright,port,mapl,pie,coffe,domin,best,enjoy,ice,tannin,lengthi,oloroso,depth,fragrant,lush,butterscotch,cake,raspberri,powder,start,golden,eleg,end,tongu,open,differ,silki,spirit,orchard,gold,butt,background,mola,young,beauti,last,mouthfeel,sooth,lime,hogshead,melon,seawe
1,bowmore 46 year old distilled 1964,"['legendari', 'bowmor', 'mid60', 'everi', 'bit', 'equal', 'share', 'remark', 'aroma', 'tropic', 'fruit', 'move', 'hallucinatori', 'intens', 'guava', 'mango', 'peach', 'pineappl', 'grapefruit', 'thereâ', 'light', 'touch', 'peat', 'smoke', 'memori', 'islay', 'realiti', 'concentr', 'even', 'low', 'strength', 'palat', 'silki', 'headi', 'haunt', 'last', 'forev', 'dri', 'glass', 'legend', 'born', 'eight', 'bottl', 'u', 'editor', 'choic']",97,single malt scotch,dave broom,13500.0,2012,42,46,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,gold bowmore 1964 vintage,"['deep', 'gold', 'color', 'surprisingli', 'live', 'nose', 'age', 'complex', 'array', 'fruit', 'tangerin', 'sultana', 'pink', 'grapefruit', 'papaya', 'gener', 'overal', 'citru', 'dna', 'youâll', 'find', 'old', 'bowmor', 'balanc', 'note', 'honey', 'vanilla', 'hint', 'damp', 'smoke', 'coconut', 'like', 'black', 'bowmor', 'textur', 'sooth', 'whiski', 'palat', 'continu', 'evolv', 'wave', 'first', 'sweet', 'honey', 'coat', 'vanilla', 'live', 'fruit', 'turn', 'quit', 'viscer', 'juici', 'oak', 'damp', 'earth', 'deep', 'peat', 'smoke', 'charcoal', 'follow', 'anoth', 'wave', 'fruit', 'thi', 'time', 'dri', 'fruit', 'finish', 'subtl', 'char', 'oak', 'roast', 'nut', 'whiski', 'better', 'white', 'bowmor', 'fall', 'short', 'black', 'bowmor', 'rate', '97', 'itâ', 'bit', 'softer', 'le', 'vibrant', 'palat']",96,single malt scotch,john hansell,6250.0,2009,42,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3,bowmore 40 year old,"['definit', 'show', 'age', 'bad', 'way', 'â', 'distilleri', 'charact', 'still', 'solid', 'foundat', 'thick', 'chewi', 'toffe', 'old', 'pot', 'still', 'rum', 'fig', 'cake', 'fruiti', 'note', 'golden', 'raisin', 'nectarin', 'soft', 'seduct', 'peat', 'smoke', 'juici', 'oak', 'cinnamon', 'brine', 'round', 'palat', 'excel', 'balanc', 'one', 'finest', 'bowmor', 'whiski', 'iâv', 'ever', 'tast', 'price', 'probabl', 'never', 'tast', 'editor', 'pick']",96,single malt scotch,john hansell,11000.0,2011,44,40,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,dalmore 50 year old,"['dalmor', 'one', 'hand', 'whiski', 'seem', 'abl', 'age', 'cask', 'mani', 'decad', 'still', 'improv', 'one', 'incred', 'viscou', 'nose', 'palat', 'heavi', 'tongu', 'chewi', 'toffe', 'old', 'pot', 'still', 'rum', 'classic', 'dalmor', 'marmalad', 'note', 'shine', 'throughout', 'along', 'vanilla', 'cream', 'array', 'dri', 'spice', 'especi', 'cinnamon', 'evergreen', 'juici', 'oak', 'forest', 'bed', 'rancio', 'old', 'armagnac', 'polish', 'leather', 'tobacco', 'mapl', 'syrup', 'dark', 'chocol', 'almond', 'macaroon', 'subtl', 'espresso', 'long', 'mouthcoat', 'finish', 'flavor', 'evolv', 'like', 'wave', 'lap', 'palat', 'especi', 'interplay', 'oak', 'canât', 'drink', 'whiski', 'slowli', 'enough', 'rare', 'experi', 'lucki', 'afford', 'price', 'per', '100ml']",96,single malt scotch,john hansell,1500.0,2009,52,50,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,glenfarclas family casks 1954 cask 1260,"['rich', 'amber', 'color', 'elegantli', 'oxid', 'note', 'greet', 'lusciou', 'old', 'fruitsâpineappl', 'dri', 'peach', 'apricotâand', 'puff', 'coallik', 'smoki', 'time', 'sweet', 'spice', 'cumin', 'especi', 'emerg', 'superbl', 'balanc', 'palat', 'fragil', 'still', 'real', 'sweet', 'alongsid', 'lick', 'treacl', 'take', 'drop', 'water', 'allow', 'richer', 'darker', 'fruit', 'emerg', 'finish', 'power', 'long', 'reson', 'superb', 'overwood', 'fair', 'price', 'rariti', 'â']",96,single malt scotch,dave broom,3360.0,2014,47,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,glenlivet cellar collection 1969 vintage,"['itâ', 'great', 'glenlivet', 'releas', 'whiski', 'cellar', 'collect', 'label', 'realli', 'show', 'true', 'potenti', 'glenlivet', 'bottl', 'classic', 'ultramatur', 'glenlivet', 'rival', 'vintag', 'cellar', 'collect', 'best', 'one', 'ever', 'incred', 'complex', 'whiski', 'note', 'vanilla', 'ripe', 'barley', 'coconut', 'caramel', 'accentu', 'glaze', 'orang', 'hazelnut', 'potpourri', 'dri', 'spice', 'least', 'bit', 'tire', 'age', 'whiski', 'onli', '800', 'bottl', 'u']",96,single malt scotch,john hansell,750.0,2007,50,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,macallan 29 year old 1976 vintage cask 11354,"['classic', 'sherri', 'caskag', 'macallan', 'antiqu', 'amber', 'hint', 'rubi', 'thickli', 'textur', 'complex', 'quit', 'deep', 'note', 'toffe', 'ripe', 'pit', 'fruit', 'raisin', 'appl', 'pie', 'dri', 'spice', 'cinnamon', 'clove', 'ginger', 'mint', 'wisp', 'smoke', 'except', 'multifacet', 'macallan']",96,single malt scotch,john hansell,1500.0,2008,45,29,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ardbeg 1974 vintage cask 3145,"['cask', 'lighter', 'color', 'sweet', 'note', 'balanc', 'smoke', 'seawe', 'deepli', 'caramel', 'cask', 'iâm', 'tast', 'hint', 'shortbread', 'caramel', 'show', 'peat', 'smoke', 'tobacco', 'toast', 'nut', 'firm', 'spice', 'note', 'cinnamon', 'clove', 'mint', 'linger', 'brine', 'complex', 'price', 'list', 'includ', 'entir', 'doubl', 'barrel', 'vintag', 'set']",95,single malt scotch,john hansell,20000.0,2008,49,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,ardbeg corryvreckan,"['part', 'perman', 'ardbeg', 'rang', 'sinc', 'corryvreckan', 'creat', 'blend', 'standard', 'ardbeg', 'ardbeg', 'age', 'virgin', 'french', 'limousin', 'oak', 'cask', 'smoki', 'bacon', 'seawe', 'plu', 'dark', 'berri', 'prickli', 'spice', 'walnut', 'lemon', 'sweet', 'peat', 'nose', 'sweet', 'savori', 'palat', 'live', 'spice', 'woodsmok', 'phenol', 'licoric', 'finish', 'lengthi', 'peat', 'sea', 'salt', 'pepper', 'black', 'coffe', 'editorsâ', 'choic']",95,single malt scotch,gavin smith,90.0,2018,57,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,balvenie 1973 43 year old,"['express', 'matur', 'european', 'oak', 'oloroso', 'sherri', 'butt', 'overtli', 'sherri', 'fig', 'sultana', 'cinnamon', 'old', 'warm', 'leather', 'nose', 'final', 'fragrant', 'milk', 'chocolateco', 'turkish', 'delight', 'turkish', 'delight', 'carri', 'palat', 'chocol', 'darken', 'plain', 'raisin', 'smoke', 'ham', 'clove', 'long', 'finish', 'remark', 'almost', 'tannic', 'oak', 'textbook', 'stuff']",95,single malt scotch,gavin smith,15000.0,2018,46,43,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
